,Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.,Sig. str,Head,Body,Leg,Distance,Clinch,Ground
0,Anderson Silva Chris Leben,2  0,17 of 20  1 of 8,85%  12%,17 of 20  1 of 8,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,17 of 20  1 of 8,17 of 20  1 of 8,0 of 0  0 of 0,0 of 0  0 of 0,13 of 14  1 of 8,1 of 1  0 of 0,3 of 5  0 of 0
0,Rashad Evans Stephan Bonnar,0  0,17 of 37  12 of 36,45%  33%,48 of 68  52 of 78,7 of 12  0 of 0,58%  0%,0  2,2  0,0  0,17 of 37  12 of 36,12 of 32  7 of 28,5 of 5  4 of 6,0 of 0  1 of 2,3 of 12  7 of 30,1 of 1  3 of 4,13 of 24  2 of 2
0,Mark Hominick Jorge Gurgel,0  0,43 of 158  36 of 211,27%  17%,43 of 158  36 of 211,0 of 0  0 of 5,0%  0%,0  0,0  0,0  0,43 of 158  36 of 211,26 of 135  14 of 178,14 of 19  1 of 5,3 of 4  21 of 28,43 of 158  36 of 211,0 of 0  0 of 0,0 of 0  0 of 0
0,Josh Koscheck Dave Menne,0  0,45 of 68  13 of 34,66%  38%,95 of 127  21 of 42,4 of 7  1 of 1,57%  100%,1  5,8  0,1  1,45 of 68  13 of 34,29 of 50  4 of 20,16 of 18  1 of 2,0 of 0  8 of 12,6 of 18  10 of 29,0 of 1  2 of 3,39 of 49  1 of 2
0,Jason Lambert  Branden Lee Hinkle,0  0,44 of 59  4 of 6,74%  66%,80 of 99  5 of 7,0 of 0  3 of 5,0%  60%,1  0,2  0,0  0,44 of 59  4 of 6,31 of 45  0 of 1,9 of 10  3 of 4,4 of 4  1 of 1,0 of 0  0 of 0,8 of 9  4 of 6,36 of 50  0 of 0
0,Jon Fitch Thiago Alves,1  0,51 of 72  1 of 1,70%  100%,104 of 129  2 of 2,3 of 4  1 of 1,75%  100%,2  3,5  0,0  0,51 of 72  1 of 1,43 of 63  0 of 0,6 of 6  0 of 0,2 of 3  1 of 1,1 of 3  1 of 1,7 of 7  0 of 0,43 of 62  0 of 0
0,Rob MacDonald  Kristian Rothaermel,0  0,10 of 17  3 of 6,58%  50%,14 of 23  16 of 19,4 of 4  0 of 3,100%  0%,3  0,3  0,0  0,10 of 17  3 of 6,9 of 16  1 of 3,0 of 0  0 of 1,1 of 1  2 of 2,1 of 4  2 of 4,0 of 0  1 of 2,9 of 13  0 of 0
0,Jorge Santiago Justin Levens,1  0,9 of 15  0 of 6,60%  0%,14 of 20  1 of 7,1 of 1  0 of 1,100%  0%,0  0,1  0,0  0,9 of 15  0 of 6,8 of 14  0 of 5,1 of 1  0 of 1,0 of 0  0 of 0,1 of 2  0 of 4,3 of 3  0 of 2,5 of 10  0 of 0
0,Kenny Florian Sam Stout,0  0,5 of 8  0 of 4,62%  0%,19 of 22  0 of 4,1 of 2  0 of 0,50%  0%,1  0,3  0,0  0,5 of 8  0 of 4,5 of 8  0 of 4,0 of 0  0 of 0,0 of 0  0 of 0,0 of 0  0 of 4,0 of 0  0 of 0,5 of 8  0 of 0
0,Michael Bisping Josh Haynes,2  0,41 of 61  8 of 22,67%  36%,52 of 72  16 of 30,4 of 5  0 of 1,80%  0%,4  0,8  0,0  1,41 of 61  8 of 22,25 of 43  5 of 19,13 of 14  3 of 3,3 of 4  0 of 0,9 of 17  3 of 12,19 of 26  5 of 8,13 of 18  0 of 2
0,Kendall Grove  Ed Herman,0  0,25 of 39  33 of 57,64%  57%,46 of 61  68 of 94,0 of 0  5 of 10,0%  50%,6  2,2  4,2  1,25 of 39  33 of 57,12 of 25  20 of 42,10 of 10  13 of 15,3 of 4  0 of 0,5 of 12  3 of 13,11 of 14  2 of 3,9 of 13  28 of 41
0,Keith Jardine  Wilson Gouveia,0  0,67 of 205  48 of 115,32%  41%,71 of 210  51 of 118,1 of 1  1 of 2,100%  50%,0  0,0  1,0  0,67 of 205  48 of 115,41 of 175  21 of 85,4 of 5  1 of 1,22 of 25  26 of 29,61 of 186  46 of 110,1 of 6  0 of 3,5 of 13  2 of 2
0,Rory Singer  Ross Pointon,0  1,2 of 4  4 of 20,50%  20%,2 of 4  7 of 23,0 of 0  0 of 0,0%  0%,1  0,0  0,0  0,2 of 4  4 of 20,1 of 3  4 of 19,1 of 1  0 of 0,0 of 0  0 of 1,2 of 4  4 of 18,0 of 0  0 of 0,0 of 0  0 of 2
0,Kalib Starnes  Danny Abbadi,0  0,21 of 29  3 of 9,72%  33%,25 of 33  6 of 12,1 of 2  0 of 0,50%  0%,1  0,3  0,0  0,21 of 29  3 of 9,10 of 17  2 of 8,11 of 12  1 of 1,0 of 0  0 of 0,2 of 5  1 of 5,5 of 5  2 of 4,14 of 19  0 of 0
0,Luigi Fioravanti  Solomon Hutcherson,1  0,11 of 31  11 of 28,35%  39%,19 of 41  25 of 44,1 of 1  1 of 1,100%  100%,0  0,1  1,1  1,11 of 31  11 of 28,7 of 22  5 of 18,3 of 7  5 of 9,1 of 2  1 of 1,4 of 12  5 of 17,5 of 17  6 of 11,2 of 2  0 of 0
0,Matt Hamill Jesse Forbes,0  0,33 of 48  9 of 21,68%  42%,93 of 117  16 of 28,1 of 1  0 of 0,100%  0%,0  0,0  0,0  0,33 of 48  9 of 21,30 of 45  4 of 15,1 of 1  3 of 4,2 of 2  2 of 2,9 of 18  8 of 19,16 of 19  1 of 2,8 of 11  0 of 0
0,Mike Nickels  Wes Combs,0  0,22 of 37  4 of 12,59%  33%,41 of 56  17 of 32,3 of 3  0 of 0,100%  0%,1  0,1  0,0  0,22 of 37  4 of 12,12 of 23  3 of 9,10 of 14  0 of 2,0 of 0  1 of 1,1 of 4  2 of 7,8 of 14  2 of 5,13 of 19  0 of 0
0,Matt Hughes Royce Gracie,0  0,32 of 40  7 of 11,80%  63%,33 of 41  14 of 18,1 of 1  0 of 0,100%  0%,1  0,4  0,0  0,32 of 40  7 of 11,22 of 29  0 of 3,8 of 9  2 of 2,2 of 2  5 of 6,3 of 4  5 of 8,1 of 1  2 of 3,28 of 35  0 of 0
0,Dean Lister  Alessio Sakara,0  0,1 of 2  1 of 3,50%  33%,6 of 8  4 of 6,0 of 1  0 of 0,0%  0%,2  0,0  0,0  0,1 of 2  1 of 3,1 of 2  1 of 3,0 of 0  0 of 0,0 of 0  0 of 0,1 of 2  1 of 3,0 of 0  0 of 0,0 of 0  0 of 0
0,Diego Sanchez John Alessio,0  0,9 of 67  17 of 57,13%  29%,25 of 87  23 of 63,1 of 16  0 of 0,6%  0%,0  1,1  0,0  0,9 of 67  17 of 57,8 of 62  15 of 54,1 of 5  0 of 1,0 of 0  2 of 2,7 of 64  16 of 55,2 of 3  1 of 2,0 of 0  0 of 0
0,Brandon Vera Assuerio Silva,0  0,8 of 29  9 of 17,27%  52%,8 of 29  11 of 19,0 of 0  1 of 1,0%  100%,1  0,0  0,0  0,8 of 29  9 of 17,3 of 19  1 of 9,2 of 6  5 of 5,3 of 4  3 of 3,8 of 29  6 of 14,0 of 0  1 of 1,0 of 0  2 of 2
0,Mike Swick Joe Riggs,0  0,5 of 12  1 of 4,41%  25%,6 of 13  2 of 5,0 of 0  0 of 2,0%  0%,1  0,0  0,0  0,5 of 12  1 of 4,1 of 7  0 of 3,2 of 2  0 of 0,2 of 3  1 of 1,2 of 9  0 of 3,3 of 3  1 of 1,0 of 0  0 of 0
0,Jeremy Horn  Chael Sonnen,0  0,3 of 5  6 of 18,60%  33%,5 of 7  34 of 52,0 of 0  3 of 3,0%  100%,4  0,0  0,0  0,3 of 5  6 of 18,3 of 5  5 of 17,0 of 0  1 of 1,0 of 0  0 of 0,1 of 3  1 of 2,0 of 0  0 of 0,2 of 2  5 of 16
0,Spencer Fisher Matt Wiman,1  0,27 of 39  10 of 19,69%  52%,44 of 58  29 of 42,0 of 0  1 of 4,0%  25%,0  4,2  2,0  0,27 of 39  10 of 19,10 of 20  7 of 14,12 of 13  2 of 4,5 of 6  1 of 1,6 of 9  1 of 8,14 of 19  4 of 5,7 of 11  5 of 6
0,Gabriel Gonzaga Fabiano Scherner,1  0,16 of 30  8 of 25,53%  32%,34 of 50  24 of 41,3 of 4  0 of 1,75%  0%,0  0,1  1,0  1,16 of 30  8 of 25,11 of 25  6 of 20,3 of 3  2 of 5,2 of 2  0 of 0,8 of 19  5 of 14,4 of 4  3 of 10,4 of 7  0 of 1
0,Melvin Guillard Rick Davis,1  0,10 of 28  5 of 10,35%  50%,10 of 28  5 of 10,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,10 of 28  5 of 10,7 of 24  2 of 3,2 of 2  2 of 5,1 of 2  1 of 2,6 of 20  5 of 10,4 of 8  0 of 0,0 of 0  0 of 0
0,Tim Sylvia  Andrei Arlovski,1  1,13 of 30  11 of 24,43%  45%,13 of 30  12 of 26,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,13 of 30  11 of 24,13 of 30  7 of 18,0 of 0  3 of 5,0 of 0  1 of 1,7 of 24  9 of 20,0 of 0  2 of 4,6 of 6  0 of 0
0,Sean Sherk Nick Diaz,0  0,39 of 155  57 of 136,25%  41%,80 of 198  131 of 210,2 of 19  1 of 1,10%  100%,0  3,0  0,1  1,39 of 155  57 of 136,30 of 146  47 of 125,5 of 5  9 of 10,4 of 4  1 of 1,17 of 90  45 of 116,22 of 65  11 of 18,0 of 0  1 of 2
0,Tito Ortiz  Forrest Griffin,0  0,61 of 125  58 of 170,48%  34%,94 of 163  81 of 200,3 of 12  0 of 0,25%  0%,0  0,2  0,0  0,61 of 125  58 of 170,57 of 121  52 of 158,2 of 2  2 of 3,2 of 2  4 of 9,35 of 77  58 of 170,0 of 0  0 of 0,26 of 48  0 of 0
0,Evan Tanner  Justin Levens,0  0,10 of 17  2 of 4,58%  50%,16 of 24  6 of 8,1 of 2  0 of 0,50%  0%,2  1,1  0,0  0,10 of 17  2 of 4,6 of 11  0 of 1,2 of 3  1 of 2,2 of 3  1 of 1,1 of 1  1 of 2,3 of 7  1 of 2,6 of 9  0 of 0
0,Jeff Monson  Marcio Cruz,0  0,32 of 110  40 of 106,29%  37%,154 of 240  51 of 118,2 of 2  0 of 5,100%  0%,0  0,1  0,0  0,32 of 110  40 of 106,16 of 93  14 of 79,11 of 12  5 of 5,5 of 5  21 of 22,16 of 89  34 of 98,10 of 11  6 of 8,6 of 10  0 of 0
0,Karo Parisyan  Nick Thompson,0  0,18 of 30  2 of 7,60%  28%,23 of 41  4 of 9,2 of 3  1 of 1,66%  100%,0  0,7  0,0  0,18 of 30  2 of 7,16 of 28  1 of 6,2 of 2  0 of 0,0 of 0  1 of 1,1 of 2  1 of 2,0 of 0  1 of 3,17 of 28  0 of 2
0,David Terrell  Scott Smith,0  0,10 of 14  3 of 6,71%  50%,21 of 25  4 of 7,1 of 4  0 of 0,25%  0%,2  0,1  0,0  0,10 of 14  3 of 6,6 of 9  1 of 3,1 of 1  1 of 1,3 of 4  1 of 2,1 of 3  2 of 3,4 of 4  0 of 0,5 of 7  1 of 3
0,Jason Lambert  Terry Martin,0  0,31 of 39  15 of 26,79%  57%,66 of 75  29 of 41,0 of 2  1 of 4,0%  25%,0  0,1  1,0  0,31 of 39  15 of 26,16 of 24  6 of 17,9 of 9  1 of 1,6 of 6  8 of 8,0 of 6  2 of 7,17 of 18  9 of 14,14 of 15  4 of 5
0,Thiago Alves Derrick Noble,1  0,11 of 27  18 of 45,40%  40%,19 of 36  26 of 53,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,11 of 27  18 of 45,5 of 17  10 of 34,4 of 5  4 of 6,2 of 5  4 of 5,5 of 19  7 of 27,4 of 6  11 of 18,2 of 2  0 of 0
0,Stephan Bonnar Keith Jardine,1  0,33 of 93  64 of 118,35%  54%,52 of 113  90 of 146,1 of 6  0 of 1,16%  0%,1  0,1  0,0  0,33 of 93  64 of 118,20 of 77  34 of 81,10 of 10  15 of 17,3 of 6  15 of 20,24 of 84  46 of 99,9 of 9  18 of 19,0 of 0  0 of 0
0,Rashad Evans Sam Hoger,0  0,23 of 72  18 of 72,31%  25%,46 of 95  59 of 113,9 of 11  0 of 1,81%  0%,0  2,0  0,0  0,23 of 72  18 of 72,19 of 67  8 of 54,4 of 5  9 of 17,0 of 0  1 of 1,17 of 58  14 of 65,5 of 10  4 of 7,1 of 4  0 of 0
0,Josh Neer Joe Stevenson,1  0,46 of 126  31 of 56,36%  55%,68 of 150  80 of 117,0 of 0  2 of 2,0%  100%,0  3,1  2,0  0,46 of 126  31 of 56,46 of 126  17 of 37,0 of 0  5 of 10,0 of 0  9 of 9,12 of 57  19 of 34,1 of 3  4 of 6,33 of 66  8 of 16
0,Chris Leben Luigi Fioravanti,0  0,36 of 90  20 of 39,40%  51%,200 of 259  41 of 60,5 of 7  0 of 5,71%  0%,0  0,6  0,0  0,36 of 90  20 of 39,26 of 68  9 of 27,8 of 18  3 of 4,2 of 4  8 of 8,4 of 17  5 of 11,20 of 51  15 of 28,12 of 22  0 of 0
0,Luke Cummo  Jason Von Flue,0  0,43 of 108  17 of 57,39%  29%,97 of 165  29 of 69,3 of 4  2 of 9,75%  22%,3  1,2  2,0  0,43 of 108  17 of 57,18 of 73  9 of 46,13 of 23  5 of 8,12 of 12  3 of 3,22 of 69  10 of 43,13 of 25  7 of 12,8 of 14  0 of 2
0,Jon Fitch Joshua Burkman,1  0,25 of 50  20 of 35,50%  57%,122 of 149  20 of 35,3 of 4  1 of 3,75%  33%,1  1,3  0,0  0,25 of 50  20 of 35,18 of 41  3 of 17,4 of 6  0 of 0,3 of 3  17 of 18,7 of 14  4 of 16,9 of 18  16 of 19,9 of 18  0 of 0
0,Dan Christison  Brad Imes,0  0,73 of 148  58 of 157,49%  36%,91 of 167  80 of 183,0 of 0  2 of 2,0%  100%,1  0,1  0,1  1,73 of 148  58 of 157,39 of 110  48 of 143,10 of 12  8 of 12,24 of 26  2 of 2,56 of 117  31 of 97,16 of 28  16 of 36,1 of 3  11 of 24
0,Josh Koscheck Ansar Chalangov,0  0,2 of 11  2 of 4,18%  50%,6 of 15  2 of 4,2 of 2  0 of 0,100%  0%,1  1,7  0,0  0,2 of 11  2 of 4,2 of 9  2 of 4,0 of 0  0 of 0,0 of 2  0 of 0,0 of 8  2 of 4,0 of 0  0 of 0,2 of 3  0 of 0
0,Chael Sonnen Trevor Prangley,0  0,25 of 59  7 of 22,42%  31%,109 of 174  29 of 45,7 of 17  0 of 2,41%  0%,0  2,3  1,0  0,25 of 59  7 of 22,17 of 47  5 of 20,6 of 10  2 of 2,2 of 2  0 of 0,3 of 11  5 of 17,5 of 9  1 of 2,17 of 39  1 of 3
0,Rich Franklin David Loiseau,2  1,127 of 244  21 of 72,52%  29%,211 of 339  26 of 78,5 of 6  1 of 1,83%  100%,0  0,8  0,1  0,127 of 244  21 of 72,82 of 190  11 of 57,42 of 51  10 of 15,3 of 3  0 of 0,74 of 172  17 of 63,32 of 46  4 of 9,21 of 26  0 of 0
0,Mike Swick Steve Vigneault,0  0,13 of 22  6 of 13,59%  46%,13 of 22  8 of 15,0 of 0  0 of 1,0%  0%,1  0,0  0,0  0,13 of 22  6 of 13,4 of 12  1 of 7,0 of 0  1 of 2,9 of 10  4 of 4,4 of 12  1 of 7,9 of 10  5 of 6,0 of 0  0 of 0
0,Georges St-Pierre BJ Penn,0  0,59 of 135  37 of 85,43%  43%,135 of 212  101 of 156,4 of 5  1 of 1,80%  100%,0  1,0  0,0  0,59 of 135  37 of 85,38 of 102  28 of 76,7 of 10  8 of 8,14 of 23  1 of 1,46 of 108  28 of 71,7 of 18  9 of 14,6 of 9  0 of 0
0,Nate Marquardt Joe Doerksen,0  1,56 of 103  26 of 80,54%  32%,71 of 118  71 of 125,5 of 5  2 of 8,100%  25%,2  0,6  2,1  0,56 of 103  26 of 80,36 of 80  19 of 70,7 of 10  5 of 8,13 of 13  2 of 2,44 of 82  21 of 69,5 of 12  2 of 4,7 of 9  3 of 7
0,Mark Hominick Yves Edwards,0  0,22 of 58  20 of 74,37%  27%,31 of 67  21 of 75,0 of 0  1 of 2,0%  50%,1  0,0  0,0  0,22 of 58  20 of 74,13 of 49  10 of 63,6 of 6  5 of 6,3 of 3  5 of 5,11 of 45  17 of 69,11 of 13  3 of 5,0 of 0  0 of 0
0,Sam Stout Spencer Fisher,0  0,62 of 183  53 of 148,33%  35%,76 of 199  77 of 172,0 of 0  4 of 9,0%  44%,0  3,1  4,0  1,62 of 183  53 of 148,38 of 152  31 of 116,15 of 22  15 of 24,9 of 9  7 of 8,40 of 148  36 of 116,19 of 29  12 of 18,3 of 6  5 of 14
0,Jason Lambert  Rob MacDonald,1  0,7 of 16  3 of 9,43%  33%,13 of 24  3 of 9,1 of 2  0 of 0,50%  0%,1  0,1  0,0  0,7 of 16  3 of 9,5 of 14  3 of 9,1 of 1  0 of 0,1 of 1  0 of 0,2 of 7  1 of 4,4 of 7  2 of 5,1 of 2  0 of 0
0,Tom Murphy  Icho Larenas,0  0,30 of 42  2 of 13,71%  15%,82 of 100  15 of 29,6 of 7  0 of 0,85%  0%,2  0,2  0,0  0,30 of 42  2 of 13,30 of 42  1 of 11,0 of 0  1 of 1,0 of 0  0 of 1,0 of 4  0 of 9,4 of 7  2 of 4,26 of 31  0 of 0
0,Chuck Liddell  Randy Couture,1  0,19 of 51  7 of 24,37%  29%,27 of 59  7 of 24,0 of 0  1 of 3,0%  33%,0  0,0  0,0  0,19 of 51  7 of 24,18 of 49  6 of 23,0 of 1  0 of 0,1 of 1  1 of 1,14 of 46  6 of 23,1 of 1  1 of 1,4 of 4  0 of 0
0,Brandon Vera Justin Eilers,1  0,7 of 10  4 of 7,70%  57%,7 of 10  8 of 11,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,7 of 10  4 of 7,3 of 4  0 of 3,2 of 3  0 of 0,2 of 3  4 of 4,4 of 7  0 of 3,2 of 2  4 of 4,1 of 1  0 of 0
0,Marcio Cruz  Frank Mir,0  0,31 of 44  3 of 6,70%  50%,72 of 87  6 of 9,1 of 2  1 of 1,50%  100%,0  0,1  0,0  0,31 of 44  3 of 6,22 of 35  0 of 3,9 of 9  3 of 3,0 of 0  0 of 0,1 of 6  0 of 3,0 of 0  2 of 2,30 of 38  1 of 1
0,Renato Sobral  Mike van Arsdale,0  0,9 of 12  1 of 4,75%  25%,11 of 14  3 of 6,0 of 1  0 of 1,0%  0%,1  0,1  1,1  0,9 of 12  1 of 4,1 of 3  1 of 4,1 of 2  0 of 0,7 of 7  0 of 0,2 of 3  1 of 4,6 of 7  0 of 0,1 of 2  0 of 0
0,Joe Riggs Nick Diaz,0  1,51 of 116  38 of 106,43%  35%,69 of 135  126 of 200,3 of 8  0 of 7,37%  0%,0  1,0  0,0  0,51 of 116  38 of 106,42 of 105  23 of 82,9 of 11  10 of 17,0 of 0  5 of 7,28 of 70  15 of 68,21 of 40  21 of 34,2 of 6  2 of 4
0,Alessio Sakara Elvis Sinosic,0  0,70 of 146  13 of 37,47%  35%,146 of 234  151 of 185,9 of 9  0 of 0,100%  0%,0  0,3  0,0  0,70 of 146  13 of 37,61 of 136  3 of 25,8 of 9  0 of 0,1 of 1  10 of 12,21 of 42  11 of 35,2 of 2  2 of 2,47 of 102  0 of 0
0,Paul Buentello  Gilbert Aldana,0  0,49 of 71  28 of 54,69%  51%,67 of 89  38 of 65,1 of 2  0 of 2,50%  0%,1  0,1  0,0  0,49 of 71  28 of 54,33 of 53  19 of 43,12 of 14  5 of 5,4 of 4  4 of 6,10 of 20  6 of 14,33 of 45  19 of 36,6 of 6  3 of 4
0,Jeff Monson  Branden Lee Hinkle,0  0,10 of 11  5 of 8,90%  62%,28 of 31  10 of 13,1 of 3  0 of 0,33%  0%,1  1,2  1,1  0,10 of 11  5 of 8,3 of 4  3 of 6,6 of 6  2 of 2,1 of 1  0 of 0,0 of 0  0 of 3,3 of 4  2 of 2,7 of 7  3 of 3
0,Keith Jardine  Mike Whitehead,0  0,44 of 131  27 of 73,33%  36%,90 of 177  37 of 83,0 of 0  5 of 12,0%  41%,0  0,0  3,0  0,44 of 131  27 of 73,35 of 120  15 of 58,2 of 3  8 of 9,7 of 8  4 of 6,38 of 115  22 of 63,6 of 16  3 of 7,0 of 0  2 of 3
0,Tim Sylvia  Assuerio Silva,0  0,85 of 224  36 of 79,37%  45%,137 of 276  43 of 86,0 of 0  0 of 5,0%  0%,0  0,0  0,0  0,85 of 224  36 of 79,51 of 185  9 of 39,21 of 24  16 of 24,13 of 15  11 of 16,69 of 202  32 of 73,14 of 20  4 of 6,2 of 2  0 of 0
0,Stephan Bonnar James Irvin,0  0,2 of 5  5 of 6,40%  83%,22 of 25  8 of 9,2 of 3  0 of 0,66%  0%,2  0,3  0,0  0,2 of 5  5 of 6,2 of 5  1 of 2,0 of 0  3 of 3,0 of 0  1 of 1,0 of 3  2 of 3,0 of 0  3 of 3,2 of 2  0 of 0
0,Joshua Burkman Drew Fickett,0  0,7 of 9  2 of 8,77%  25%,8 of 10  2 of 8,0 of 0  0 of 0,0%  0%,1  0,0  0,0  0,7 of 9  2 of 8,1 of 3  1 of 5,0 of 0  1 of 2,6 of 6  0 of 1,3 of 5  1 of 7,4 of 4  1 of 1,0 of 0  0 of 0
0,Chris Leben Jorge Rivera,1  0,10 of 17  5 of 10,58%  50%,16 of 23  6 of 11,1 of 1  0 of 0,100%  0%,0  0,1  0,0  0,10 of 17  5 of 10,6 of 11  3 of 8,4 of 6  2 of 2,0 of 0  0 of 0,0 of 5  2 of 6,5 of 7  3 of 4,5 of 5  0 of 0
0,Josh Neer Melvin Guillard,0  0,3 of 9  11 of 51,33%  21%,8 of 14  12 of 53,1 of 1  2 of 2,100%  100%,2  0,1  0,0  0,3 of 9  11 of 51,2 of 8  5 of 41,0 of 0  1 of 5,1 of 1  5 of 5,2 of 7  6 of 32,0 of 0  1 of 3,1 of 2  4 of 16
0,Duane Ludwig Jonathan Goulet,1  0,1 of 1  0 of 1,100%  0%,1 of 1  0 of 1,0 of 0  0 of 0,0%  0%,0  0,0  0,0  0,1 of 1  0 of 1,1 of 1  0 of 1,0 of 0  0 of 0,0 of 0  0 of 0,1 of 1  0 of 1,0 of 0  0 of 0,0 of 0  0 of 0
0,Spencer Fisher Aaron Riley,0  0,25 of 65  9 of 23,38%  39%,30 of 70  17 of 32,0 of 0  2 of 4,0%  50%,0  0,0  1,0  0,25 of 65  9 of 23,13 of 51  2 of 15,10 of 12  4 of 5,2 of 2  3 of 3,18 of 54  1 of 13,7 of 11  7 of 9,0 of 0  1 of 1
0,Jason Von Flue  Alex Karalexis,0  0,28 of 68  18 of 60,41%  30%,50 of 90  35 of 77,0 of 2  1 of 5,0%  20%,2  3,1  1,0  0,28 of 68  18 of 60,18 of 51  14 of 54,10 of 17  2 of 4,0 of 0  2 of 2,13 of 42  6 of 39,15 of 26  10 of 19,0 of 0  2 of 2
