,TEAM,COUNTRY,WT CLASS
pearl-gonzalez,,USA,Women's Strawweight
desmond-green,Hard Knocks 365,USA,Lightweight
magomed-bibulatov,Akhmat Fight Team,Russia,Flyweight
tom-duquesnoy,Jackson-Wink MMA,France,Bantamweight
cindy-dandois,Perfect Team,Belgium,Women's Bantamweight
rashad-coulter,Fortis MMA,USA,Light Heavyweight
oliver-enkamp,Pancrase Gym Sweden,Sweden,Welterweight
marlon-moraes,Ricardo Almeida Jiu-Jitsu,Brazil,Bantamweight
brian-kelleher,Maxum BJJ,USA,Bantamweight
deiveson-figueiredo,Marajo Brothers Team,Brazil,Flyweight
luke-jumeau,Phuket Top Team,New Zealand,Welterweight
ashkan-mokhtarian,Australian Top Team,Iran,Flyweight
chanmi-jeon,Kukje Gym,Korea,Women's Strawweight
rolando-dy,Biagtian Muay Thai,Philippines,Featherweight
frank-camacho,Trench Tech,Guam,Welterweight
carls-john-de-tomas,De Tomas MMA,Philippines,Flyweight
naoki-inoue,Hakushinkai Karate,Japan,Flyweight
ji-yeon-kim,MOB Training Center,Korea,Women's Flyweight
dominick-reyes,Cage Combat Academy,USA,Light Heavyweight
michel-quinones,American Top Team Wolfpack,USA,Lightweight
jared-gordon,Roufusport,USA,Lightweight
justin-gaethje,Elevation Fight Team,USA,Lightweight
nick-roehrick,,,
tom-gallicchio,Team Quest -Portland,USA,Welterweight
terrion-ware,,USA,Bantamweight
cody-stamann,Michigan Top Team,USA,Bantamweight
trevin-giles,Texas Elite MMA,USA,Middleweight
james-bochnovic,Rothwell MMA,USA,Middleweight
matt-bessette,Underdog BJJ,USA,Featherweight
azunna-anyanwu,Renzo Gracie Philly,USA,Heavyweight
greg-rebello,,USA,Heavyweight
boston-salmon,Xtreme Couture,USA,Bantamweight
ricky-turcios,,USA,Bantamweight
charles-byrd,Fortis MMA,USA,Middleweight
jamie-pickett,,USA,Middleweight
manny-vazquez,,USA,Flyweight
justin-willis,AKA (American Kickboxing Academy),USA,Heavyweight
james-mulheron,,England,Heavyweight
galore-bofando,,England,Welterweight
danny-henry,Higher Level Martial Arts,Scotland,Featherweight
daniel-teymur,Allstars Training Center,Sweden,Featherweight
amanda-lemos,Marajo Brothers Team,Brazil,Women's Bantamweight
angel-de-anda,Last Stand Fight Team,USA,Heavyweight
sean-omalley,MMA LAB,USA,Bantamweight
alfred-khashakyan,,USA,Bantamweight
thanh-le,,USA,Featherweight
lazar-stojadinovic,,,Featherweight
sidney-outlaw,,USA,Welterweight
michael-cora,,USA,Welterweight
cj-hamilton,Contemporary Martial Arts,USA,Flyweight
casey-kenney,Rise Combat Sports,USA,Bantamweight
eryk-anders,Fortis MMA,USA,Light Heavyweight
junior-albini,American Top Team,Brazil,Heavyweight
ryan-spann,Fortis MMA,USA,Light Heavyweight
karl-roberson,Killer B Combat Sports Academy,USA,Light Heavyweight
kyle-stewart,Arizona Combat Sports,USA,Welterweight
jason-jackson,Hard Knocks 365,USA,Welterweight
geoff-neal,Fortis MMA,USA,Welterweight
chase-waldon,,USA,Middleweight
alonzo-menifield,Fortis MMA,USA,Light Heavyweight
dan-ige,Xtreme Couture,USA,Featherweight
luis-gomez,American Top Team,USA,Featherweight
tonya-evinger,Team Quest -Portland,USA,Women's Featherweight
calvin-kattar,Carlos Neto BJJ,USA,Featherweight
jarred-brooks,Mash Fight Team,USA,Flyweight
phil-hawes,TriStar Gym,USA,Middleweight
julian-marquez,Syndicate MMA,USA,Middleweight
james-gray,,USA,Bantamweight
kyler-phillips,MMA LAB,USA,Bantamweight
ronaldo-candido-de-oliveira,Nova Uniao,Brazil,Flyweight
carlos-candelario,Underdog BJJ,USA,Flyweight
austin-arnett,Sikjitsu,USA,Featherweight
brandon-davis,Alan Belcher MMA Club,USA,Bantamweight
john-castaneda,The Academy,USA,Bantamweight
cheyden-leialoha,,USA,Bantamweight
humberto-bandenay,Pro Fighting Peru,Peru,Featherweight
roberto-sanchez,Gracie Barra Katy,USA,Flyweight
joseph-morales,Team Alpha Male,USA,Flyweight
jamelle-jones,,USA,Light Heavyweight
mike-rodriguez,Lauzon MMA,USA,Light Heavyweight
peter-petties,Team Lloyd Irvin,USA,Featherweight
julio-arce,Team Tiger Schulman,USA,Featherweight
kevin-gray,,,
alex-perez,Team Oyama,USA,Bantamweight
donavon-frelow,Wand Fight Team,USA,Bantamweight
ricky-simon,American Top Team Portland,USA,Bantamweight
shelton-graves,,USA,Heavyweight
everett-sims,,USA,Heavyweight
randall-wallace,Last Stand Fight Team,USA,Middleweight
adrian-diaz,Team Alpha Male,USA,Featherweight
grant-dawson,Glory MMA & Fitness,USA,Featherweight
cameron-olson,,USA,
karl-reed,,USA,Light Heavyweight
martin-day,Hawaii Elite MMA,USA,Bantamweight
jaime-alvarez,,,Flyweight
jamie-colleen,Renzo Gracie Jiu-Jitsu,USA,Women's Strawweight
tiffany-masters,,USA,Women's Strawweight
anton-berzin,,USA,Light Heavyweight
kennedy-nzechukwu,Fortis MMA,Nigeria,Light Heavyweight
steven-peterson,Fortis MMA,USA,Featherweight
benito-lopez,Team Alpha Male,USA,Bantamweight
jp-buys,,South Africa,Flyweight
mark-cherico,,USA,Featherweight
mike-santiago,Top Notch Fitness,USA,Featherweight
nick-urso,Jackson-Wink MMA,USA,Flyweight
jordan-espinosa,Luttrell-Yee MMA,USA,Flyweight
matt-frevola,Serra-Longo Fight Team,USA,Lightweight
jose-flores,,,Lightweight
bevon-lewis,Jackson-Wink MMA,USA,Middleweight
elias-urbina,,USA,Light Heavyweight
adam-antolin,,,
lauren-mueller,Alliance MMA,USA,Women's Flyweight
kelly-velasco,,USA,Women's Bantamweight
dontale-mayes,,USA,Heavyweight
allen-crowder,Team Rubao Carioca BJJ,USA,Heavyweight
rob-wilkinson,Hybrid Training Centre,Australia,Middleweight
talita-bernardo,Imperio Fight,Brazil,Women's Bantamweight
mads-burnell,Arte Suave Copenhagen,Denmark,Featherweight
aleksandar-rakic,Gym 23,Austria,Light Heavyweight
zabit-magomedsharipov,Ricardo Almeida Jiu-Jitsu,Russia,Featherweight
abdul-kerim-edilov,Akhmat Fight Team,Russia,Light Heavyweight
arjan-bhullar,Ryan's MMA - Checkmat Vancouver,Canada,Heavyweight
alex-reyes,Cage Combat Academy,USA,Welterweight
gokhan-saki,Mike's Gym,Turkey,Light Heavyweight
syuri-kondo,Vos Gym,Japan,Women's Strawweight
daichi-abe,HMC,Japan,Welterweight
kalindra-faria,Macaco Gold Team,Brazil,
mara-romero-borella,American Top Team,Italy,Women's Flyweight
poliana-botelho,Nova Uniao,Brazil,Women's Flyweight
jodie-esquibel,Jackson-Wink MMA,USA,Women's Strawweight
oskar-piechota,Piranha Grappling Team,Poland,Middleweight
nasrat-haqparast,TriStar Gym,Afghanistan,Lightweight
ramazan-emeev,Gorec,Azerbaijan,Middleweight
salim-touahri,Grappling Krakow,Poland,Welterweight
aspen-ladd,MMAGold Fight Team,USA,Women's Bantamweight
marcelo-golm,Corinthians MMA,Brazil,Heavyweight
jessica-rose-clark,,,
shane-young,City Kickboxing,New Zealand,Featherweight
tai-tuivasa,Lions High Performance Centre,Australia,Heavyweight
nadia-kassem,Australian Top Team,Australia,Women's Flyweight
adam-wieczorek,AKS Chorzow,Poland,Heavyweight
wang-guan,American Top Team,China,Featherweight
muslim-salikhov,Eagles MMA,Russia,Welterweight
sheymon-moraes,Team Nogueira,Brazil,Featherweight
song-kenan,Jackson-Wink MMA,China,Welterweight
yan-xiaonan,China Top Team,China,Women's Strawweight
song-yadong,Team Alpha Male,China,Bantamweight
bharat-kandare,Superhuman Gym,India,Bantamweight
wu-yanan,,China,Women's Bantamweight
wuliji-buren,,China,Bantamweight
hu-yaozong,ET MMA,China,Light Heavyweight
nicco-montano,Fit NHB,USA,Women's Flyweight
barb-honchak,Miletich Martial Arts,USA,Women's Flyweight
sijara-eubanks,Team Lloyd Irvin,USA,Women's Flyweight
deanna-bennett,The Pit Elevated Fight Team,USA,Women's Flyweight
melinda-fabian,Budapest Top Team,Hungary,
christina-marks,Fight Ugly,,Women's Flyweight
montana-de-la-rosa,Team Takedown,USA,Women's Flyweight
rachael-ostovich,Jesus is Lord,USA,Women's Flyweight
karine-gevorgyan,,Armenia,Women's Flyweight
ariel-beck,,USA,Women's Flyweight
shana-dobson,Team Lloyd Irvin,USA,Women's Flyweight
emily-whitmire,Xtreme Couture,USA,Women's Strawweight
gillian-robertson,American Top Team,Canada,Women's Flyweight
markus-perez,Viscardi Andrade Team,Brazil,Middleweight
merab-dvalishvili,Serra-Longo Fight Team,Georgia,Bantamweight
michal-oleksiejczuk,Gornik Leczna,Poland,Light Heavyweight
mark-de-la-rosa,Skrap Pack,USA,Bantamweight
cory-sandhagen,Elevation Fight Team,USA,Bantamweight
priscila-cachoeira,Parana Vale Tudo,Brazil,Women's Flyweight
maia-stevenson,Joe Stevenson's Cobra Kai,USA,Women's Strawweight
polyana-viana,American Top Team,Brazil,Women's Strawweight
israel-adesanya,City Kickboxing,Nigeria,Middleweight
curtis-millender,,,
tim-williams,Team Balance,USA,Middleweight
marcin-prachnio,Tatsujin Dojo,Poland,Light Heavyweight
manny-bermudez,South Shore Sport,USA,Bantamweight
yana-kunitskaya,,,
mackenzie-dern,Black House,USA,Women's Strawweight
alexander-hernandez,Ohana Academy,USA,Lightweight
john-phillips,SBG Ireland,Wales,Middleweight
hakeem-dawodu,,,
magomed-ankalaev,Gorets,Russia,Light Heavyweight
dmitry-sosnovskiy,,,
ricky-rainey,Renegade Fighting Systems,USA,Welterweight
dan-moret,,,
andrea-lee,Gladiators Training Academy,USA,Women's Flyweight
craig-white,,,
carlo-pedersoli,Gloria Fight Center,USA,Welterweight
molly-mccann,,,
chance-rencountre,Alliance MMA,USA,Welterweight
nathaniel-wood,Team Titan,England,Bantamweight
jose-torres,Combat-Do,USA,
megan-anderson,Glory MMA & Fitness,Australia,Women's Featherweight
dashawn-boatwright,,,
chris-curtis,Xtreme Couture,USA,
sean-lally,,USA,
greg-hardy,,,
austen-lane,,USA,
montel-jackson,Pura Vida BJJ,USA,Bantamweight
rico-disciullo,Team Sityodtong,USA,
kevin-holland,,,
will-santiago,,USA,Middleweight
matt-sayles,Alliance MMA,USA,Featherweight
yazan-hajeh,10th Planet Jiu-Jitsu,USA,
anthony-hernandez,,,
jordan-wright,,USA,
giga-chikadze,,,
austin-springer,,USA,
emiliano-sordi,,,
dwight-grant,AKA (American Kickboxing Academy),USA,Welterweight
tyler-hill,,,
petr-yan,Tiger Muay Thai,Russia,Bantamweight
hector-aldana,Torture Athletics,Mexico,Welterweight
antonina-shevchenko,,,
jaimelene-nievera,,,
austin-tweedy,,,
te-edwards,MMA LAB,USA,Lightweight
josh-parisian,,,
jamall-emmers,,,
tim-caron,,USA,
jordan-williams,Nor-Cal Fighting Alliance,USA,
michael-trizano,Team Tiger Schulman,USA,Lightweight
joe-giannetti,South Shore Sport,USA,Lightweight
jay-cucciniello,,,
brad-katona,SBG Ireland,Canada,Bantamweight
richie-smullen,,,
luis-pena,AKA (American Kickboxing Academy),Italy,Featherweight
allan-zuniga,,,
john-gunther,Fight Farm,USA,Lightweight
bryce-mitchell,,,
tyler-diamond,,,
kevin-aguilar,Longview MMA,USA,Featherweight
alton-cunningham,Pura Vida BJJ,USA,
toby-misech,,,
ricky-palacios,,USA,
rilley-dutro,I & I Training Center,USA,
jalin-turner,Adrenaline Combat Sports,USA,Lightweight
max-mustaki,,,
blagoy-ivanov,SK Absolute Bulgaria,Bulgaria,Heavyweight
said-nurmagomedov,,,
raoni-barcelos,Rizzo RVT,Brazil,Bantamweight
jennifer-maia,Chute Boxe,Brazil,Women's Flyweight
elias-garcia,,,
maycee-barber,,,
vince-morales,Xtreme Couture,USA,Bantamweight
domingo-pilarte,,,
anthony-adams,Team Wildman Vale Tudo,USA,
chibwikem-onyenegecha,,,
austin-vanderford,American Top Team Portland,USA,Middleweight
angelo-trevino,Team Alpha Male,USA,
edmen-shahbazyan,,,
antonio-jones,,USA,
abu-azaitar,,,
david-zawada,UFD Gym,Germany,Welterweight
nad-narimani,Iron Mann MMA,England,Featherweight
khalid-taha,Arena Dortmund,Germany,Bantamweight
darko-stosic,MMA Red Star,Serbia,Light Heavyweight
liu-pingyuan,,,
nick-newell,Fighting Arts Academy,USA,Catch Weight
alex-munoz,Team Alpha Male,USA,
jimmy-crute,Greco and Stewie's House,Australia,Light Heavyweight
chris-birchler,,,
mike-davis,Pete White Boxing and MMA,USA,
sodiq-yusuff,Team Lloyd Irvin,Nigeria,Featherweight
jeff-hughes,Strong Style Fight Team,USA,Heavyweight
josh-appelt,Team Alpha Male,USA,
chase-hooper,Combat Sport and Fitness,USA,
canaan-kawaihae,,USA,
roosevelt-roberts,Cortez Martial Arts,USA,Lightweight
garrett-gross,Sabens Martial Arts,USA,
mitchell-sipe,,,
ian-heinisch,FactoryX Muay Thai,USA,Middleweight
justin-sumter,,,
maurice-mitchell,Team Alpha Male,USA,
jordan-griffin,,,
juan-adams,Paradigm Training Center,USA,Heavyweight
shawn-teed,Ricardo Almeida Jiu-Jitsu,USA,
zhang-weili,Black Tiger Fight Club,China,Women's Strawweight
tebaris-gordon,,,
joseph-lowry,,USA,
devonte-smith,FactoryX Muay Thai,USA,Lightweight
dennis-bryant,,USA,
bobby-moffett,MMA LAB,USA,Featherweight
jacob-kilburn,,USA,
marty-coughran,,USA,
alex-gilpin,,,
maiara-amanajas-dos-santos,,Brazil,
sarah-frota,,,
antonio-arroyo,,Brazil,
diego-henrique-da-silva,,,
marcos-conrado-jr,,,
augusto-sakai,,,
rogerio-bontorin,Gile Ribeiro Team / Noguchi Team,Brazil,Flyweight
gustavo-gabriel,,,
mayra-bueno-silva,Chute Boxe,Brazil,Women's Bantamweight
mayana-kellem,,Brazil,
leonardo-silva-de-oliveira,,Brazil,
marina-rodriguez,,Brazil,Women's Strawweight
maria-de-oliveira-neta,,,
johnny-walker,Imperio Fight,Brazil,Light Heavyweight
taila-santos,,,
estefani-almeida,,,
andre-muniz,,Brazil,
bruno-assis,,Brazil,
allan-nascimento,,,
raulian-paiva,Ronildo Nobre Judo Club,Brazil,Flyweight
vinicius-moreira,Five Rounds,Brazil,Light Heavyweight
john-allan,,,
mabelly-lima,Master Kombat,Brazil,Women's Bantamweight
luana-carolina,,,
gisele-moreira,,Brazil,
dayana-silva,,,
thiago-moises,American Top Team,Brazil,Lightweight
gleidson-cutis,,Brazil,Lightweight
aleksei-kunchenko,,,
khalid-murtazaliev,Krepost,Russia,Middleweight
jin-soo-son,,,
adam-yandiev,,Russia,Middleweight
stefan-sekulic,Family Fight Team,Serbia,Welterweight
andre-ewell,,,
luigi-vendramini,,Italy,Welterweight
livinha-souza,Team Maximo,Brazil,Women's Strawweight
jonathan-martinez,Different Breed MMA,USA,Bantamweight
chris-fishgold,Next Generation UK,England,Featherweight
don-madge,,,
hannah-cifers,,,
laureano-staropoli,,,
jesus-pinedo,Pitbull Martial Arts Center,Peru,Lightweight
anderson-dos-santos,,,
sergei-pavlovich,,Russia,Heavyweight
su-mudaerji,Enbo Gedou,China,
juan-espino,American Top Team,Spain,Heavyweight
justin-frazier,,,
pannie-kianzad,Arte Suave Copenhagen,Sweden,Women's Featherweight
macy-chiasson,Fortis MMA,USA,Women's Bantamweight
julija-stoliarenko,,,
leah-letson,Pura Vida BJJ,USA,Women's Featherweight
chris-gutierrez,,,
maurice-greene,The Performance Compound,USA,Heavyweight
michel-batista,,,
suman-mokhtarian,Australian Top Team,Australia,
kai-kara-france,City Kickboxing,New Zealand,Flyweight
damir-ismagulov,Boets MMA,Russia,Lightweight
alex-gorgees,,,
kyle-nelson,,,
ariane-lipski,Rasthai Temple,Brazil,Women's Flyweight
mario-bautista,MMA LAB,USA,Bantamweight
jairzinho-rozenstruik,Team Bigi Boy,Suriname,Heavyweight
geraldo-de-freitas,Rio Fighters,Brazil,Bantamweight
felipe-colares,Team Nogueira,Brazil,Bantamweight
marcos-mariano,Killer Bees,Brazil,Lightweight
callan-potter,,,
klidson-abreu,Evolucao Thai,Brazil,Light Heavyweight
ismail-naurdiev,,,
joel-alvarez,,Spain,
ben-askren,,,
nicolae-negumereanu,CSS Dinamo Bra?ov,Romania,Light Heavyweight
mike-grundy,,,
ryan-macdonald,Disorderly Conduct,USA,Bantamweight
sabina-mazo,,,
zelim-imadaev,,Russia,Welterweight
randy-costa,,,
arman-tsarukyan,,Russia,Lightweight
alen-amedovski,American Top Team Rome,Macedonia,Middleweight
movsar-evloev,,Russia,Featherweight
seungwoo-choi,,Korea,Featherweight
alex-da-silva,,,
rafael-fiziev,Phuket Top Team,Kyrgyzstan,Lightweight
thomas-gifford,FactoryX Muay Thai,USA,Lightweight
takashi-sato,Tribe Tokyo MMA,Japan,Welterweight
virna-jandiroba,,,
serghei-spivac,,Moldova,
marc-andre-barriault,,,
kyle-prepolec,,,
cole-smith,,,
carlos-huachin,,,
viviane-araujo,Cerrado MMA,Brazil,Women's Bantamweight
felicia-spencer,Jungle MMA,Canada,Women's Lightweight
derrick-krantz,Team 515,USA,
austin-hubbard,Elevation Fight Team,USA,
charles-jourdain,Academie Pro Star MMA,Canada,Featherweight
michel-pereira,Scorpion Fighting System,Brazil,
sung-bin-jo,,Korea,
rostem-akman,,,
sergey-khandozhko,,Russia,Welterweight
bea-malecki,,Sweden,
duda-santana,Tata Fight Team,Brazil,Women's Bantamweight
danilo-belluardo,Stabile Fight Team,Italy,
grigorii-popov,,Russia,Bantamweight
punahele-soriano,,,
hannah-goldy,,USA,
kali-robbins,,USA,
bill-algeo,,USA,
alton-meeks,,USA,
yorgan-de-castro,,,
deron-winn,,,
tony-johnson,,,
zach-zane,Black House,USA,
justin-gonzales,,USA,
michael-lombardo,,USA,
kyle-daukaus,,,
richie-santiago,,,
miles-johns,,,
miguel-baeza,MMA Masters,USA,
victor-reyna,,,
journey-newson,,USA,
dalcha-lungiambula,,South Africa,Light Heavyweight
dequan-townsend,,USA,
amanda-ribas,,,
nohelin-hernandez,AKA (American Kickboxing Academy),USA,
julia-avila,,,
jesse-wallace,,USA,
joseph-solecki,,,
kenneth-bergh,,,
antonio-trocoli,,,
christian-ocon,,USA,Bantamweight
hunter-azure,,USA,Bantamweight
maki-pitolo,,,
jonathan-pearce,MMA LAB,USA,
jacob-rosales,,,
wellington-turman,,Brazil,
brianna-van-buren,AKA (American Kickboxing Academy),USA,
stephen-regman,,,
ode-osbourne,,USA,
armando-villarreal,,USA,
ricardo-prasel,,Brazil,
lance-lawrence,,,
kevin-syler,American Top Team,Bolivia,
brendan-allen,,,
aaron-jeffery,,Canada,
gabriel-silva,,,
ramazan-kuramagomedov,,Russia,
terrance-mckinney,,,
sean-woodson,,USA,
christian-lohsen,,,
jj-okanovich,,USA,
jamahal-hill,,,
alexander-poppeck,Munich MMA,Germany,
billy-quarantillo,Gracie Tampa South,USA,
kamuela-kirk,,USA,
yoshinori-horie,,Japan,
aleksa-camur,,,
fabio-cherant,,USA,
steven-nguyen,,,
aalon-cruz,,,
tracy-cortez,,USA,Women's Bantamweight
mariya-agapova,,Kazakhstan,
daniel-rodriguez,,USA,
rico-farrington,,,
rodrigo-nascimento,,,
michal-martinek,,,
cole-williams,,USA,
miranda-granger,Charlie's Combat Club,USA,
omar-morales,,,
harvey-park,Force Of One Martial Arts,USA,
marilia-santos,,Brazil,
lucrezia-ria,,Italy,
herbert-burns,Evolve MMA,Brazil,
darrick-minner,Premier Combat Center,USA,
taylor-johnson,,,
dwight-joseph,,Liberia,
jason-perrin,,USA,
eduardo-garagorri,,,
rodolfo-vieira,Team Nogueira,Brazil,
ciryl-gane,MMA Factory,France,Heavyweight
raphael-pessoa,,Brazil,Heavyweight
kazula-vargas,,Mexico,
herdem-alacabek,,,
william-knight,,USA,
devin-smyth,,USA,
brok-weaver,,,
sarah-alpar,,USA,
shanna-young,,,
ray-rodriguez,,,
tony-gravely,,USA,
julius-anglickas,,Lithuania,Light Heavyweight
khama-worthy,,,
leon-shahbazyan,,USA,
phil-rowe,,,
marcos-brigagao,,Brazil,
jamal-pogues,,USA,
desmond-torres,,,
steve-garcia,,USA,
mallory-martin,,,
micol-di-segni,,Italy,
ricky-steele,,,
phil-caracappa,,USA,
dusko-todorovic,,,
teddy-ash,,Canada,
kailan-hill,,,
impa-kasanganay,,USA,
sang-hoon-yoo,,,
peter-barrett,,USA,
ben-sosoli,,Australia,
dustin-joynson,Zugec Ultimate Martial Arts,Canada,
tj-brown,,,
dylan-lockard,,,
mizuki-inoue,,,
jun-yong-park,Korean Top Team,Korea,Middleweight
da-un-jung,,Korea,
khadis-ibragimov,,,
alateng-heili,,China,
danaa-batgerel,,,
karol-rosa,,Brazil,
lara-procopio,Nova Uniao,Brazil,
lerone-murphy,All Powers Gym,England,
liana-jojua,,,
ottman-azaitar,,Morocco,
fares-ziam,,,
tristan-connelly,Island MMA,Canada,
askar-askarov,,Russia,
vanessa-melo,Babuino Gold Team,Brazil,
ariane-carnelossi,,Brazil,
tyson-nam,,,
mark-o-madsen,Rumble Sports,Denmark,Welterweight
makhmud-muradov,Ankos MMA,Uzbekistan,
jack-shore,,Wales,
justin-tafa,,Australia,
brad-riddell,City Kickboxing,New Zealand,
jamie-mullarkey,,,
zarah-fairn,,France,
bruno-silva,Pitbull Brothers,Brazil,
kron-gracie,Gracie Humaita,Brazil,Featherweight
diana-belbita,,Romania,
sean-brady,Renzo Gracie Philly,USA,
tanner-boser,,Canada,
loma-lookboonmee,Tiger Muay Thai,Thailand,Women's Strawweight
